Time (minutes);My Engine RPM
0.0;1383.0
0.09958333333336972;1578.0
0.20300000000000484;2322.0
0.308066666666673;2583.0
0.4086500000000039;2318.0
0.5005000000000412;1551.0
0.6018500000000737;1718.0
0.7032833333333353;2137.0
0.8065833333334013;819.0
0.9025666666667045;2492.0
1.017099999999967;1961.0
1.1129666666666405;1667.0
1.2163833333333363;1091.0
1.3232166666667278;757.0
1.422650000000067;782.0
1.532033333333311;1543.0
1.6365499999999884;2069.0
1.7426500000000185;1609.0
1.8445999999999914;1093.0
1.954683333333378;782.0
2.054866666666688;783.0
2.150600000000001;783.0
2.2567666666667114;781.0
2.3583333333333334;2595.0
2.4599333333332956;1149.0
2.5483333333333578;2029.0
2.6497666666667405;2287.0
2.7413833333333364;2500.0
2.834083333333304;1992.0
2.927316666666714;2245.0
3.0339333333333345;1792.0
3.1319166666666813;1813.0
3.239416666666633;1929.0
3.34963333333338;782.0
3.445516666666663;778.0
3.5475333333333157;784.0
3.6471166666667463;785.0
3.7465833333333043;781.0
3.851349999999972;1736.0
3.9465166666667453;2775.0
4.0557166666666795;2781.0
4.159233333333395;2371.0
4.257266666666692;1764.0
4.3638000000000225;1779.0
4.457733333333333;1713.0
4.561083333333348;1638.0
4.6649833333334145;1807.0
4.7728833333333265;1339.0
4.874233333333298;771.0
4.982433333333392;786.0
5.0816833333333005;785.0
5.186216666666708;779.0
5.296666666666715;1457.0
5.396116666666663;2177.0
5.500633333333341;1504.0
5.600300000000061;1458.0
5.714166666666642;1418.0
5.807233333333352;883.0
5.9102000000000166;1066.0
6.018366666666649;1644.0
6.116050000000056;2062.0
6.2207999999999934;1429.0
6.321399999999994;1234.0
6.42481666666669;2620.0
6.526750000000053;2407.0
6.633199999999973;2185.0
6.7372166666666695;2564.0
6.829850000000079;2447.0
6.934250000000005;2248.0
7.033116666666683;2088.0
7.140716666666655;2127.0
7.236666666666739;1854.0
7.342033333333408;2091.0
7.435783333333408;2562.0
7.5462500000000245;2917.0
7.645616666666683;3125.0
7.74396666666665;2619.0
7.844933333333392;2337.0
7.946633333333375;2316.0
8.052299999999983;2329.0
8.159516666666725;2467.0
8.254866666666688;2437.0
8.362900000000081;2121.0
8.461316666666729;2245.0
8.564983333333414;2507.0
8.660800000000018;2754.0
8.764683333333354;3076.0
8.871450000000065;3108.0
8.967566666666729;3254.0
9.070183333333382;3225.0
9.175816666666652;3278.0
9.275766666666701;3337.0
9.39321666666668;3296.0
9.492833333333328;3351.0
9.591816666666636;3149.0
9.698166666666657;3237.0
9.799399999999999;3389.0
9.905150000000019;3369.0
10.008683333333344;3320.0
10.11328333333331;3388.0
10.210283333333306;3160.0
10.314233333333323;3018.0
10.420083333333363;2885.0
10.513083333333391;2832.0
10.620799999999994;2696.0
10.72481666666669;2659.0
10.828816666666656;2918.0
10.927333333333324;2823.0
11.030483333333299;3007.0
11.138400000000063;3184.0
11.241583333333377;3244.0
11.33698333333341;3274.0
11.444950000000002;3543.0
11.540100000000045;3762.0
11.646516666666745;3840.0
11.74301666666664;3555.0
11.847350000000006;3537.0
11.94960000000004;3370.0
12.05106666666664;3549.0
12.149399999999998;3791.0
12.253283333333336;3750.0
12.350983333333351;3638.0
12.458433333333353;3663.0
12.560666666666657;3654.0
12.661150000000028;3660.0
12.767750000000039;3654.0
12.865149999999995;3646.0
12.970199999999993;3654.0
13.068333333333308;3657.0
13.16896666666665;3644.0
13.266083333333397;3657.0
13.376883333333414;3595.0
13.480483333333298;3130.0
13.586016666666668;3006.0
13.688633333333321;3070.0
13.796899999999974;2922.0
13.890966666666646;2748.0
13.990766666666726;3007.0
14.09980000000008;3221.0
14.194783333333302;3309.0
14.303350000000016;3114.0
14.395683333333363;2811.0
14.502316666666713;2733.0
14.601283333333413;2644.0
14.710333333333377;2446.0
14.811466666666698;2467.0
14.910316666666647;2672.0
15.01235000000003;2716.0
15.125849999999991;2761.0
15.219866666666713;2846.0
15.324516666666629;2759.0
15.43035000000006;3142.0
15.527199999999963;3229.0
15.632533333333413;3216.0
15.739316666666733;3344.0
15.832366666666712;3363.0
15.939883333333395;3139.0
16.027883333333374;2977.0
16.11271666666665;2767.0
16.20518333333336;2897.0
16.289866666666665;2765.0
16.378183333333315;2778.0
16.463783333333414;2831.0
16.552150000000015;2744.0
16.6391333333333;2657.0
16.72461666666665;2782.0
16.81248333333339;2781.0
16.90036666666674;3041.0
16.988750000000074;3027.0
17.077133333333403;2925.0
17.164500000000043;2969.0
17.258000000000052;2970.0
17.3423833333333;2986.0
17.43053333333337;3125.0
17.515733333333387;3167.0
17.60433333333337;3446.0
17.68688333333339;3363.0
17.772116666666747;3300.0
17.859000000000016;3325.0
17.948949999999968;3045.0
18.040433333333326;2927.0
18.120483333333322;2808.0
18.208549999999985;2706.0
18.29846666666672;2917.0
18.38841666666667;2757.0
18.47609999999998;2900.0
18.559883333333346;3316.0
18.65074999999997;3413.0
18.739066666666744;3454.0
18.82436666666666;3503.0
18.91230000000008;3350.0
19.001016666666693;3214.0
19.090899999999966;2767.0
19.172516666666706;2732.0
19.26091666666665;3076.0
19.34378333333334;3285.0
19.434300000000075;3495.0
19.51769999999997;2992.0
19.60653333333333;1803.0
19.69865000000003;2122.0
19.78231666666664;2864.0
19.86756666666673;2552.0
19.952866666666644;2806.0
20.046216666666684;3021.0
20.13060000000005;2792.0
20.210133333333335;982.0
20.295316666666743;1858.0
20.388033333333322;2364.0
20.476633333333304;1691.0
20.55723333333335;1869.0
20.647466666666634;2643.0
20.735599999999977;2144.0
20.82623333333334;1904.0
20.909850000000006;2155.0
20.994400000000073;2349.0
21.08100000000001;2354.0
21.171083333333325;2021.0
21.258750000000024;2186.0
21.34386666666663;2398.0
21.429650000000038;2445.0
21.521216666666685;2110.0
21.605083333333337;1922.0
21.691800000000026;2225.0
21.776766666666663;2547.0
21.865683333333315;2750.0
21.949083333333327;2521.0
22.040983333333376;2801.0
22.128200000000046;2566.0
22.215566666666685;2465.0
22.2983666666667;2624.0
22.385866666666697;2415.0
