Time (minutes);Father's Vehicle acceleration
0.0;-0.0380876767990536
0.00016666666670062114;-0.0380876767990536
1.7348666666666153;-0.0817073977881226
1.7350333333333159;-0.0817073977881226
2.84411666666662;0.315469346133594
3.0949333333332714;-0.151128511575314
4.096083333333324;-0.189196446683069
4.096250000000024;-0.189196446683069
4.697700000000016;-0.149326006346035
4.784133333333375;-0.411936439663967
4.867766666666649;-0.275033641991323
4.953450000000036;-0.0673962396959278
5.040633333333365;-0.013500094536302
5.126900000000023;0.229608026305668
5.2130833333332705;0.281557042882512
5.294633333333332;0.298520850516363
5.386083333333348;0.469057143224194
5.467983333333298;0.325765954717063
5.72511666666663;-0.0819339034907204
6.073516666666667;0.504953925968033
6.157083333333381;0.401949632575831
6.241166666666686;0.369351492845849
6.326900000000023;0.274790452453873
6.409933333333296;0.178903584012766
6.831000000000009;0.122684525267396
7.272783333333306;0.0393385658850122
7.357249999999961;-0.0652134967883441
7.436866666666659;-0.0939922377181854
8.28036666666667;0.275853614680032
8.363383333333331;0.219779617922189
8.44961666666665;0.123035844096439
8.61895000000004;-0.0546936005455695
8.7002666666666;-0.109940642354567
9.058316666666602;0.0
9.142799999999989;-0.0403046687303173
9.482666666666653;0.163466392737532
10.160866666666697;-0.0678584642223628
10.239433333333363;-0.0963712887986651
10.580933333333329;-0.149125001866435
10.664549999999993;-0.217998737570401
11.172049999999945;0.249336039320852
11.25683333333327;0.191729440528891
11.341716666666617;0.219240455560795
11.430533333333369;0.0949152371461105
11.516700000000007;0.0402972732426133
11.600666666666681;0.0
11.686716666666689;-0.0402570931331457
11.772016666666605;-0.0406716198289771
11.857666666666653;-0.0407343164140222
12.713066666666661;0.0
12.799316666666709;-0.0806806499755151
12.884533333333335;-0.108230117909121
13.229383333333317;0.161101538860426
13.311683333333349;0.110486233018168
14.584950000000026;-0.0805390962368458
14.92406666666672;-0.0819117809954855
15.005449999999959;-0.191331858723392
15.50569999999995;0.166063551249016
15.59326666666663;0.0
15.674316666666709;-0.082427618251844
16.705049999999996;0.0917843817227847
16.705216666666697;0.0917843817227847
17.385483333333347;-0.0963285719457812
17.471816666666687;-0.136658566421464
17.552949999999935;-0.137802818710686
17.641049999999936;-0.123819766086236
17.721416666666602;-0.0413434512136171
17.892349999999958;0.0954824803471698
17.978033333333347;0.109905975602731
18.066900000000047;0.147407955804312
18.578633333333347;0.110423532484449
18.664449999999974;0.109142569344816
19.508583333333323;-0.0694761853344764
19.59383333333329;-0.293219607555614
19.684333333333296;-0.33931789830722
19.765000000000025;-0.384795197085297
19.85699999999997;-0.425195629931583
20.188983333333333;0.153397775538025
20.270783333333384;0.21008551692312
20.52621666666661;-0.411858881437275
20.60449999999995;-0.624303695359455
21.284533333333336;0.149049149352657
21.378666666666685;-0.35926022571362
22.464716666666693;0.124114320210974
22.550833333333383;0.14993573836037
23.57443333333334;0.353597460332916
23.57460000000004;0.353597460332916
24.08143333333331;-0.162858388551651
24.16424999999993;-0.205228838741972
24.254833333333348;-0.366069641410723
24.84353333333335;0.370041756843993
24.84370000000005;0.370041756843993
25.783316666666604;-0.0801920561252012
25.86775000000004;-0.134124583178149
25.95115000000005;-0.375625828247238
26.288883333333313;0.315280532870422
27.483483333333304;-0.190567248952519
27.563416666666672;-0.357605431754508
27.651533333333283;-0.370636121044914
27.73874999999995;-0.526585658867654
27.821983333333385;-0.765925762112642
28.15635000000002;0.415373710073766
28.23811666666661;0.471254091953336
28.32605000000003;0.396343585552861
28.41243333333332;0.218251284152908
28.665566666666685;-0.177270996978872
28.746416666666605;-0.402003111751386
28.827516666666632;-0.375699057600992
28.911883333333268;-0.578884283439899
28.995416666666642;-0.631572848103224
29.078416666666694;-0.529901570281308
30.107266666666693;-0.199943210369891
30.107433333333272;-0.199943210369891
31.035883333333306;-0.0138161992396114
31.11839999999999;-0.396172880575184
31.201849999999954;-0.382527438460912
31.710300000000036;-0.0138232023445518
31.790166666666604;-0.152836993706805
31.959950000000028;-0.154729192121359
