"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"7561.022089";"Average speed (GPS)";"0";"km/h";"41.0144543";"29.0378076";
"7561.022089";"Speed (GPS)";"0";"km/h";"41.0144543";"29.0378076";
"7561.030089";"Altitude (GPS)";"112.300003051758";"m";"41.0144543";"29.0378076";
"7561.102089";"Altitude (GPS)";"112.300003051758";"m";"41.0144543";"29.0378076";
"7561.229089";"Altitude (GPS)";"112.300003051758";"m";"41.0144543";"29.0378076";
"7561.229089";"Average speed (GPS)";"0";"km/h";"41.0144543";"29.0378076";
"7561.229089";"Speed (GPS)";"0";"km/h";"41.0144543";"29.0378076";
"7568.334089";"Altitude (GPS)";"156.396762257712";"m";"41.0144543";"29.0378076";
"7568.334089";"Average speed (GPS)";"1.01367572225044";"km/h";"41.0144543";"29.0378076";
"7568.334089";"Speed (GPS)";"1.59754010438919";"km/h";"41.0144543";"29.0378076";
"7568.341089";"Altitude (GPS)";"156.396762257712";"m";"41.0144543";"29.0378076";
"7568.341089";"Average speed (GPS)";"1.01407820758554";"km/h";"41.0144543";"29.0378076";
"7568.341089";"Speed (GPS)";"1.59754010438919";"km/h";"41.0144543";"29.0378076";
"7568.345089";"Altitude (GPS)";"112.300003051758";"m";"41.0144543";"29.0378076";
"7568.345089";"Average speed (GPS)";"1.01421021223026";"km/h";"41.0144543";"29.0378076";
"7568.345089";"Speed (GPS)";"1.45998655557632";"km/h";"41.0144543";"29.0378076";
"7568.346089";"Altitude (GPS)";"112.300003051758";"m";"41.0144543";"29.0378076";
"7568.346089";"Average speed (GPS)";"1.01408019638084";"km/h";"41.0144543";"29.0378076";
"7568.346089";"Speed (GPS)";"0";"km/h";"41.0144543";"29.0378076";
"7568.352089";"Altitude (GPS)";"150.343940586662";"m";"41.0144543";"29.0378076";
"7568.352089";"Average speed (GPS)";"1.01357266665617";"km/h";"41.0144543";"29.0378076";
"7568.352089";"Speed (GPS)";"0";"km/h";"41.0144543";"29.0378076";
"7568.353089";"Altitude (GPS)";"150.343940586662";"m";"41.0144543";"29.0378076";
"7568.353089";"Average speed (GPS)";"1.01343920013728";"km/h";"41.0144543";"29.0378076";
"7568.353089";"Speed (GPS)";"0";"km/h";"41.0144543";"29.0378076";
