"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"69895.463077";"Altitude (GPS)";"87.1999969482422";"m";"40.9682234";"29.0909482";
"69903.615077";"Average speed (GPS)";"7.72485303906953";"km/h";"40.9682234";"29.0909482";
"69903.615077";"Speed (GPS)";"7.72786560058594";"km/h";"40.9682234";"29.0909482";
"69903.616077";"Altitude (GPS)";"75.3943520520124";"m";"40.9682234";"29.0909482";
"69903.618077";"Altitude (GPS)";"75.3943520520124";"m";"40.9682234";"29.0909482";
"69903.618077";"Average speed (GPS)";"7.7248537225145";"km/h";"40.9682234";"29.0909482";
"69903.618077";"Speed (GPS)";"7.72786560058594";"km/h";"40.9682234";"29.0909482";
"69903.622077";"Altitude (GPS)";"87.1999969482422";"m";"40.9682234";"29.0909482";
"69903.622077";"Average speed (GPS)";"7.72443053906046";"km/h";"40.9682234";"29.0909482";
"69903.622077";"Speed (GPS)";"6.79440364837647";"km/h";"40.9682234";"29.0909482";
"69903.625077";"Altitude (GPS)";"77.2212613130956";"m";"40.9682234";"29.0909482";
"69903.625077";"Average speed (GPS)";"7.72547616545798";"km/h";"40.9682234";"29.0909482";
"69903.625077";"Speed (GPS)";"11.2904614448547";"km/h";"40.9682234";"29.0909482";
"69903.627077";"Altitude (GPS)";"77.2212613130956";"m";"40.9682234";"29.0909482";
"69903.627077";"Average speed (GPS)";"7.72624042046819";"km/h";"40.9682234";"29.0909482";
"69903.627077";"Speed (GPS)";"11.2904614448547";"km/h";"40.9682234";"29.0909482";
"69903.630077";"Altitude (GPS)";"87.1999969482422";"m";"40.9682234";"29.0909482";
"69903.630077";"Average speed (GPS)";"7.72675183866304";"km/h";"40.9682234";"29.0909482";
"69903.630077";"Speed (GPS)";"9.00043001174927";"km/h";"40.9682234";"29.0909482";
"69903.641077";"Altitude (GPS)";"93.5710028651666";"m";"40.9682234";"29.0909482";
"69903.641077";"Altitude (GPS)";"93.5710028651666";"m";"40.9682234";"29.0909482";
"69903.641077";"Average speed (GPS)";"7.72238018765599";"km/h";"40.9682234";"29.0909482";
"69903.641077";"Average speed (GPS)";"7.72213751133852";"km/h";"40.9682234";"29.0909482";
"69903.641077";"Speed (GPS)";"3.81491360664368";"km/h";"40.9682234";"29.0909482";
"69903.641077";"Speed (GPS)";"3.81491360664368";"km/h";"40.9682234";"29.0909482";
"69903.645077";"Altitude (GPS)";"87.1999969482422";"m";"40.9682234";"29.0909482";
"69903.645077";"Average speed (GPS)";"7.72149484511508";"km/h";"40.9682234";"29.0909482";
"69903.645077";"Speed (GPS)";"6.16836533546448";"km/h";"40.9682234";"29.0909482";
"69903.648077";"Altitude (GPS)";"86.9000015258789";"m";"40.9682234";"29.0909482";
"69903.648077";"Average speed (GPS)";"7.71931515891254";"km/h";"40.9682234";"29.0909482";
"69903.648077";"Speed (GPS)";"0";"km/h";"40.9682234";"29.0909482";
"69903.651077";"Altitude (GPS)";"86.9000015258789";"m";"40.9682234";"29.0909482";
"69903.651077";"Average speed (GPS)";"7.7184872565979";"km/h";"40.9682234";"29.0909482";
"69903.651077";"Speed (GPS)";"5.23526558876038";"km/h";"40.9682234";"29.0909482";
"69903.652077";"Altitude (GPS)";"86.9000015258789";"m";"40.9682234";"29.0909482";
"69903.652077";"Average speed (GPS)";"7.71751307049573";"km/h";"40.9682234";"29.0909482";
"69903.652077";"Speed (GPS)";"0";"km/h";"40.9682234";"29.0909482";
"69903.807077";"Altitude (GPS)";"86.9000015258789";"m";"40.9681741";"29.0913725";
"69903.956077";"Absolute throttle position B";"14";"%";"40.9681741";"29.0913725";
"69904.027077";"Average speed (GPS)";"7.46335803539863";"km/h";"40.9681741";"29.0913725";
"69904.027077";"Speed (GPS)";"1.15509009361267";"km/h";"40.9681741";"29.0913725";
"69904.028077";"Altitude (GPS)";"139.550404415853";"m";"40.9681741";"29.0913725";
"69904.030077";"Altitude (GPS)";"139.550404415853";"m";"40.9681741";"29.0913725";
"69904.030077";"Average speed (GPS)";"7.46170214254555";"km/h";"40.9681741";"29.0913725";
"69904.030077";"Speed (GPS)";"1.15509009361267";"km/h";"40.9681741";"29.0913725";
"69904.035077";"Altitude (GPS)";"86.9000015258789";"m";"40.9681741";"29.0913725";
"69904.035077";"Average speed (GPS)";"7.45913890017321";"km/h";"40.9681741";"29.0913725";
"69904.035077";"Speed (GPS)";"2.25787110328674";"km/h";"40.9681741";"29.0913725";
"69904.113077";"Average speed (GPS)";"7.39926846857577";"km/h";"40.9681741";"29.0913725";
"69904.113077";"Speed (GPS)";"0";"km/h";"40.9681741";"29.0913725";
"69904.114077";"Altitude (GPS)";"86.9000015258789";"m";"40.9681741";"29.0913725";
"69904.119077";"Absolute pedal position D";"14";"%";"40.9681741";"29.0913725";
"69904.556077";"OBD Module Voltage";"14.2";"V";"40.9681741";"29.0913725";
"69904.782077";"Calculated engine load value";"28.6274509803922";"%";"40.9681741";"29.0913725";
"69904.975077";"Engine coolant temperature";"40";"℃";"40.9681741";"29.0913725";
"69905.172077";"Short term fuel % trim - Bank 1";"-17.96875";"%";"40.9681741";"29.0913725";
"69905.301077";"Long term fuel % trim - Bank 1";"21.875";"%";"40.9681741";"29.0913725";
"69905.453077";"Calculated boost";"-9.32955249731443";"psi";"40.9681741";"29.0913725";
"69905.453077";"Intake manifold absolute pressure";"5.366396306259";"psi";"40.9681741";"29.0913725";
"69905.622077";"Calculated instant fuel rate";"1.19249809803815";"L/h";"40.9681741";"29.0913725";
"69905.622077";"Engine RPM";"830";"rpm";"40.9681741";"29.0913725";
"69905.622077";"Engine RPM x1000";"0.8";"rpm";"40.9681741";"29.0913725";
"69905.622077";"Instant engine power (based on fuel consumption)";"4.66528855727257";"hp";"40.9681741";"29.0913725";
"69905.803077";"Calculated instant fuel consumption";"119.249809803815";"L/100km";"40.9681741";"29.0913725";
"69905.803077";"Vehicle speed";"1";"km/h";"40.9681741";"29.0913725";
"69905.905077";"Average speed (GPS)";"6.75594841873872";"km/h";"40.9679345691439";"29.0911404359302";
"69905.905077";"Speed (GPS)";"3.24606020450592";"km/h";"40.9679345691439";"29.0911404359302";
"69905.906077";"Altitude (GPS)";"143.24248857181";"m";"40.9679345691439";"29.0911404359302";
"69905.910077";"Altitude (GPS)";"143.24248857181";"m";"40.9679345691439";"29.0911404359302";
"69905.910077";"Average speed (GPS)";"6.75460273175986";"km/h";"40.9679345691439";"29.0911404359302";
"69905.910077";"Speed (GPS)";"3.24606020450592";"km/h";"40.9679345691439";"29.0911404359302";
"69905.966077";"Timing advance";"7";"°";"40.9679345691439";"29.0911404359302";
