"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"59650.212573";"Average speed (GPS)";"0.590813835167017";"km/h";"40.8898062176327";"29.3751124501521";
"59650.212573";"Speed (GPS)";"0";"km/h";"40.8898062176327";"29.3751124501521";
"59650.220573";"Altitude (GPS)";"0";"m";"40.8898062176327";"29.3751124501521";
"59650.356573";"Altitude (GPS)";"174.551393254945";"m";"40.8898062176327";"29.3751124501521";
"59650.356573";"Average speed (GPS)";"0.508174766352474";"km/h";"40.8898062176327";"29.3751124501521";
"59650.356573";"Speed (GPS)";"0";"km/h";"40.8898062176327";"29.3751124501521";
"59650.968573";"Altitude (GPS)";"192.571325750011";"m";"40.8898062176327";"29.3751124501521";
"59650.968573";"Average speed (GPS)";"0.796531399061177";"km/h";"40.8898062176327";"29.3751124501521";
"59650.968573";"Speed (GPS)";"1.28038272857666";"km/h";"40.8898062176327";"29.3751124501521";
"59650.971573";"Altitude (GPS)";"192.571325750011";"m";"40.8898062176327";"29.3751124501521";
"59650.971573";"Average speed (GPS)";"0.797251403201948";"km/h";"40.8898062176327";"29.3751124501521";
"59650.971573";"Speed (GPS)";"1.28038272857666";"km/h";"40.8898062176327";"29.3751124501521";
"59651.026573";"Average speed (GPS)";"0.813119111800458";"km/h";"40.8898062176327";"29.3751124501521";
"59651.026573";"Speed (GPS)";"1.28038272857666";"km/h";"40.8898062176327";"29.3751124501521";
"59651.027573";"Altitude (GPS)";"192.571325750011";"m";"40.8898062176327";"29.3751124501521";
"59651.118573";"Altitude (GPS)";"0";"m";"40.8898062176327";"29.3751124501521";
"59651.118573";"Average speed (GPS)";"0.771600292608568";"km/h";"40.8898062176327";"29.3751124501521";
"59651.118573";"Speed (GPS)";"0";"km/h";"40.8898062176327";"29.3751124501521";
"59651.504573";"Altitude (GPS)";"192.571325750011";"m";"40.8898062176327";"29.3751124501521";
"59651.504573";"Average speed (GPS)";"0.634452223339379";"km/h";"40.8898062176327";"29.3751124501521";
"59651.504573";"Speed (GPS)";"0";"km/h";"40.8898062176327";"29.3751124501521";
"59651.959573";"Altitude (GPS)";"212.778340460251";"m";"40.8898062176327";"29.3751124501521";
"59651.959573";"Average speed (GPS)";"0.807981918343556";"km/h";"40.8898062176327";"29.3751124501521";
"59651.959573";"Speed (GPS)";"1.63833746910095";"km/h";"40.8898062176327";"29.3751124501521";
"59651.989573";"Altitude (GPS)";"212.778340460251";"m";"40.8897606252907";"29.3752083566655";
"59651.989573";"Average speed (GPS)";"0.817448480546273";"km/h";"40.8897606252907";"29.3752083566655";
"59651.989573";"Speed (GPS)";"1.63833746910095";"km/h";"40.8897606252907";"29.3752083566655";
"59651.992573";"Altitude (GPS)";"212.778340460251";"m";"40.8897606252907";"29.3752083566655";
"59651.992573";"Average speed (GPS)";"0.818317363040757";"km/h";"40.8897606252907";"29.3752083566655";
"59651.992573";"Speed (GPS)";"1.63833746910095";"km/h";"40.8897606252907";"29.3752083566655";
"59651.997573";"Altitude (GPS)";"212.778340460251";"m";"40.8897606252907";"29.3752083566655";
"59651.997573";"Average speed (GPS)";"0.819673920487269";"km/h";"40.8897606252907";"29.3752083566655";
"59651.997573";"Speed (GPS)";"1.55520036220551";"km/h";"40.8897606252907";"29.3752083566655";
"59652.009573";"Altitude (GPS)";"0";"m";"40.8897606252907";"29.3752083566655";
"59652.009573";"Average speed (GPS)";"0.815978746287044";"km/h";"40.8897606252907";"29.3752083566655";
"59652.009573";"Speed (GPS)";"0";"km/h";"40.8897606252907";"29.3752083566655";
"59652.300573";"Altitude (GPS)";"212.778340460251";"m";"40.8897606252907";"29.3752083566655";
"59652.300573";"Average speed (GPS)";"0.736143170314013";"km/h";"40.8897606252907";"29.3752083566655";
"59652.300573";"Speed (GPS)";"0";"km/h";"40.8897606252907";"29.3752083566655";
"59652.944573";"Altitude (GPS)";"208.488778279758";"m";"40.8897606252907";"29.3752083566655";
"59652.944573";"Average speed (GPS)";"0.821483013965506";"km/h";"40.8897606252907";"29.3752083566655";
"59652.944573";"Speed (GPS)";"1.21506761312485";"km/h";"40.8897606252907";"29.3752083566655";
"59652.973573";"Altitude (GPS)";"208.488778279758";"m";"40.8897635620602";"29.3751644634705";
"59652.973573";"Average speed (GPS)";"0.824590927343584";"km/h";"40.8897635620602";"29.3751644634705";
"59652.973573";"Speed (GPS)";"1.21506761312485";"km/h";"40.8897635620602";"29.3751644634705";
"59652.977573";"Altitude (GPS)";"208.488778279758";"m";"40.8897635620602";"29.3751644634705";
"59652.977573";"Average speed (GPS)";"0.825066131026567";"km/h";"40.8897635620602";"29.3751644634705";
"59652.977573";"Speed (GPS)";"1.21506761312485";"km/h";"40.8897635620602";"29.3751644634705";
"59653.006573";"Average speed (GPS)";"0.828213994293233";"km/h";"40.8897635620602";"29.3751644634705";
"59653.006573";"Speed (GPS)";"1.22191164493561";"km/h";"40.8897635620602";"29.3751644634705";
"59653.007573";"Altitude (GPS)";"208.488778279758";"m";"40.8897635620602";"29.3751644634705";
"59653.010573";"Altitude (GPS)";"0";"m";"40.8897635620602";"29.3751644634705";
"59653.010573";"Average speed (GPS)";"0.827345599255597";"km/h";"40.8897635620602";"29.3751644634705";
"59653.010573";"Speed (GPS)";"0";"km/h";"40.8897635620602";"29.3751644634705";
"59653.375573";"Altitude (GPS)";"208.488778279758";"m";"40.8897635620602";"29.3751644634705";
"59653.375573";"Average speed (GPS)";"0.752860695131661";"km/h";"40.8897635620602";"29.3751644634705";
"59653.375573";"Speed (GPS)";"0";"km/h";"40.8897635620602";"29.3751644634705";
