"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"27554.07042";"Speed (GPS)";"0";"km/h";"40.9687323";"29.1021012";
"27554.09042";"Altitude (GPS)";"99.0999984741211";"m";"40.9687323";"29.1021012";
"27554.13242";"Average speed (GPS)";"0";"km/h";"40.9687323";"29.1021012";
"27554.13242";"Speed (GPS)";"0";"km/h";"40.9687323";"29.1021012";
"27554.13342";"Altitude (GPS)";"99.0999984741211";"m";"40.9687323";"29.1021012";
"27554.14742";"Altitude (GPS)";"99.0999984741211";"m";"40.9687323";"29.1021012";
"27556.83442";"Altitude (GPS)";"153.864545474768";"m";"40.9687323";"29.1021012";
"27556.83442";"Average speed (GPS)";"26.1267599399449";"km/h";"40.9687323";"29.1021012";
"27556.83442";"Speed (GPS)";"26.68392162323";"km/h";"40.9687323";"29.1021012";
"27556.85542";"Altitude (GPS)";"153.864545474768";"m";"40.9689140601412";"29.1023714547295";
"27556.85542";"Average speed (GPS)";"26.1307895645741";"km/h";"40.9689140601412";"29.1023714547295";
"27556.85542";"Speed (GPS)";"26.68392162323";"km/h";"40.9689140601412";"29.1023714547295";
"27556.86042";"Altitude (GPS)";"153.864545474768";"m";"40.9689140601412";"29.1023714547295";
"27556.86042";"Average speed (GPS)";"26.1319630031357";"km/h";"40.9689140601412";"29.1023714547295";
"27556.86042";"Speed (GPS)";"26.68392162323";"km/h";"40.9689140601412";"29.1023714547295";
"27556.92742";"Altitude (GPS)";"99.0999984741211";"m";"40.9689140601412";"29.1023714547295";
"27556.92742";"Average speed (GPS)";"25.5261731942243";"km/h";"40.9689140601412";"29.1023714547295";
"27556.92742";"Speed (GPS)";"0";"km/h";"40.9689140601412";"29.1023714547295";
"27557.80442";"Altitude (GPS)";"121.147998308105";"m";"40.9689140601412";"29.1023714547295";
"27557.80442";"Average speed (GPS)";"25.6389063426775";"km/h";"40.9689140601412";"29.1023714547295";
"27557.80442";"Speed (GPS)";"26.0052412033081";"km/h";"40.9689140601412";"29.1023714547295";
"27557.83042";"Altitude (GPS)";"121.147998308105";"m";"40.968941582886";"29.1021153725136";
"27557.83042";"Average speed (GPS)";"25.6414485461161";"km/h";"40.968941582886";"29.1021153725136";
"27557.83042";"Speed (GPS)";"26.0052412033081";"km/h";"40.968941582886";"29.1021153725136";
"27557.84242";"Altitude (GPS)";"121.147998308105";"m";"40.968941582886";"29.1021153725136";
"27557.84242";"Average speed (GPS)";"25.6425779678747";"km/h";"40.968941582886";"29.1021153725136";
"27557.84242";"Speed (GPS)";"26.0052412033081";"km/h";"40.968941582886";"29.1021153725136";
"27557.84942";"Altitude (GPS)";"99.0999984741211";"m";"40.968941582886";"29.1021153725136";
"27557.84942";"Average speed (GPS)";"25.6370352289693";"km/h";"40.968941582886";"29.1021153725136";
"27557.84942";"Speed (GPS)";"22.4577129364014";"km/h";"40.968941582886";"29.1021153725136";
"27557.87542";"Altitude (GPS)";"99.0999984741211";"m";"40.968941582886";"29.1021153725136";
"27557.87542";"Average speed (GPS)";"25.4573626684121";"km/h";"40.968941582886";"29.1021153725136";
"27557.87542";"Speed (GPS)";"0";"km/h";"40.968941582886";"29.1021153725136";
"27558.97842";"Altitude (GPS)";"112.948853963227";"m";"40.968941582886";"29.1021153725136";
"27558.97842";"Average speed (GPS)";"25.2058728794478";"km/h";"40.968941582886";"29.1021153725136";
"27558.97842";"Speed (GPS)";"24.3388092041016";"km/h";"40.968941582886";"29.1021153725136";
"27558.99942";"Altitude (GPS)";"112.948853963227";"m";"40.9690354376954";"29.1021272439368";
"27558.99942";"Average speed (GPS)";"25.2020921071965";"km/h";"40.9690354376954";"29.1021272439368";
"27558.99942";"Speed (GPS)";"24.3388092041016";"km/h";"40.9690354376954";"29.1021272439368";
"27559.00042";"Altitude (GPS)";"112.948853963227";"m";"40.9690354376954";"29.1021272439368";
"27559.00042";"Average speed (GPS)";"25.2019652240327";"km/h";"40.9690354376954";"29.1021272439368";
"27559.00042";"Speed (GPS)";"24.3388092041016";"km/h";"40.9690354376954";"29.1021272439368";
"27559.07142";"Altitude (GPS)";"99.0999984741211";"m";"40.9690354376954";"29.1021272439368";
"27559.07142";"Average speed (GPS)";"24.8424352737802";"km/h";"40.9690354376954";"29.1021272439368";
"27559.07142";"Speed (GPS)";"0";"km/h";"40.9690354376954";"29.1021272439368";
"27559.76242";"Altitude (GPS)";"114.359523046698";"m";"40.9690354376954";"29.1021272439368";
"27559.76242";"Average speed (GPS)";"24.6407198814491";"km/h";"40.9690354376954";"29.1021272439368";
"27559.76242";"Speed (GPS)";"23.180429649353";"km/h";"40.9690354376954";"29.1021272439368";
"27559.78142";"Altitude (GPS)";"114.359523046698";"m";"40.9690921858051";"29.102100910928";
"27559.78142";"Altitude (GPS)";"114.359523046698";"m";"40.9690921858051";"29.102100910928";
"27559.78142";"Average speed (GPS)";"24.6358468231657";"km/h";"40.9690921858051";"29.102100910928";
"27559.78142";"Average speed (GPS)";"24.6356672945682";"km/h";"40.9690921858051";"29.102100910928";
"27559.78142";"Speed (GPS)";"23.180429649353";"km/h";"40.9690921858051";"29.102100910928";
"27559.78142";"Speed (GPS)";"23.180429649353";"km/h";"40.9690921858051";"29.102100910928";
"27559.91642";"Altitude (GPS)";"99.0999984741211";"m";"40.9690921858051";"29.102100910928";
"27559.91642";"Average speed (GPS)";"24.0683458698128";"km/h";"40.9690921858051";"29.102100910928";
"27559.91642";"Speed (GPS)";"0";"km/h";"40.9690921858051";"29.102100910928";
"27560.83742";"Altitude (GPS)";"115.42778386798";"m";"40.9690921858051";"29.102100910928";
"27560.83742";"Average speed (GPS)";"24.1790426355838";"km/h";"40.9690921858051";"29.102100910928";
"27560.83742";"Speed (GPS)";"24.8814067840576";"km/h";"40.9690921858051";"29.102100910928";
"27560.87242";"Altitude (GPS)";"115.42778386798";"m";"40.9691513853395";"29.1020701523783";
"27560.87242";"Average speed (GPS)";"24.1826548760745";"km/h";"40.9691513853395";"29.1020701523783";
"27560.87242";"Average speed (GPS)";"24.1827495388246";"km/h";"40.9691513853395";"29.1020701523783";
"27560.87242";"Speed (GPS)";"24.8814067840576";"km/h";"40.9691513853395";"29.1020701523783";
"27560.87242";"Speed (GPS)";"24.8814067840576";"km/h";"40.9691513853395";"29.1020701523783";
"27560.87342";"Altitude (GPS)";"115.42778386798";"m";"40.9691513853395";"29.1020701523783";
"27561.12442";"Altitude (GPS)";"99.0999984741211";"m";"40.9691513853395";"29.1020701523783";
"27561.12442";"Average speed (GPS)";"23.3204550996341";"km/h";"40.9691513853395";"29.1020701523783";
"27561.12442";"Speed (GPS)";"0";"km/h";"40.9691513853395";"29.1020701523783";
"27561.85542";"Altitude (GPS)";"131.291402669967";"m";"40.9691513853395";"29.1020701523783";
"27561.85542";"Average speed (GPS)";"22.5524118349815";"km/h";"40.9691513853395";"29.1020701523783";
"27561.85542";"Speed (GPS)";"15.148127746582";"km/h";"40.9691513853395";"29.1020701523783";
"27561.88942";"Altitude (GPS)";"131.291402669967";"m";"40.9692145679666";"29.1020168505978";
"27561.88942";"Average speed (GPS)";"22.5202826144422";"km/h";"40.9692145679666";"29.1020168505978";
"27561.88942";"Speed (GPS)";"15.148127746582";"km/h";"40.9692145679666";"29.1020168505978";
"27561.89842";"Altitude (GPS)";"131.291402669967";"m";"40.9692145679666";"29.1020168505978";
"27561.89842";"Average speed (GPS)";"22.5121194579038";"km/h";"40.9692145679666";"29.1020168505978";
"27561.89842";"Speed (GPS)";"15.148127746582";"km/h";"40.9692145679666";"29.1020168505978";
"27562.05142";"Altitude (GPS)";"99.0999984741211";"m";"40.9692145679666";"29.1020168505978";
"27562.05142";"Average speed (GPS)";"22.0798562210665";"km/h";"40.9692145679666";"29.1020168505978";
"27562.05142";"Speed (GPS)";"0";"km/h";"40.9692145679666";"29.1020168505978";
"27562.48242";"Altitude (GPS)";"100.599998474121";"m";"40.9692145679666";"29.1020168505978";
"27562.48242";"Average speed (GPS)";"20.9479183752046";"km/h";"40.9692145679666";"29.1020168505978";
"27562.48242";"Speed (GPS)";"0";"km/h";"40.9692145679666";"29.1020168505978";
