"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"37103.187579";"Speed (GPS)";"28.9667415618896";"km/h";"40.9646938983962";"29.1029560431709";
"37103.202579";"Altitude (GPS)";"106.591396683913";"m";"40.9646938983962";"29.1029560431709";
"37103.216579";"Average speed (GPS)";"28.9667415618896";"km/h";"40.9646938983962";"29.1029560431709";
"37103.216579";"Speed (GPS)";"28.9667415618896";"km/h";"40.9646938983962";"29.1029560431709";
"37103.217579";"Altitude (GPS)";"106.591396683913";"m";"40.9646938983962";"29.1029560431709";
"37103.234579";"Altitude (GPS)";"106.591396683913";"m";"40.9646938983962";"29.1029560431709";
"37103.234579";"Average speed (GPS)";"28.9667415618897";"km/h";"40.9646938983962";"29.1029560431709";
"37103.234579";"Speed (GPS)";"28.9667415618896";"km/h";"40.9646938983962";"29.1029560431709";
"37104.098579";"Altitude (GPS)";"87.8000030517578";"m";"40.9646938983962";"29.1029560431709";
"37104.098579";"Average speed (GPS)";"1.34012465059924";"km/h";"40.9646938983962";"29.1029560431709";
"37104.098579";"Speed (GPS)";"0";"km/h";"40.9646938983962";"29.1029560431709";
"37104.115579";"Altitude (GPS)";"87.8000030517578";"m";"40.9647272";"29.1029307";
"37104.554579";"Altitude (GPS)";"142.804836775796";"m";"40.9647272";"29.1029307";
"37104.554579";"Altitude (GPS)";"142.804836775796";"m";"40.9647272";"29.1029307";
"37104.554579";"Average speed (GPS)";"10.3116581114999";"km/h";"40.9647272";"29.1029307";
"37104.554579";"Average speed (GPS)";"10.3223332965889";"km/h";"40.9647272";"29.1029307";
"37104.554579";"Speed (GPS)";"28.154175567627";"km/h";"40.9647272";"29.1029307";
"37104.554579";"Speed (GPS)";"28.154175567627";"km/h";"40.9647272";"29.1029307";
"37104.558579";"Altitude (GPS)";"87.8000030517578";"m";"40.9647272";"29.1029307";
"37104.558579";"Average speed (GPS)";"10.2952233399013";"km/h";"40.9647272";"29.1029307";
"37104.558579";"Speed (GPS)";"0";"km/h";"40.9647272";"29.1029307";
"37105.209579";"Altitude (GPS)";"142.614519693464";"m";"40.9647272";"29.1029307";
"37105.209579";"Average speed (GPS)";"13.2633178019527";"km/h";"40.9647272";"29.1029307";
"37105.209579";"Speed (GPS)";"19.4936908721924";"km/h";"40.9647272";"29.1029307";
"37105.239579";"Altitude (GPS)";"142.614519693464";"m";"40.9645957426237";"29.1031705323659";
"37105.239579";"Average speed (GPS)";"13.3574299555025";"km/h";"40.9645957426237";"29.1031705323659";
"37105.239579";"Speed (GPS)";"19.4936908721924";"km/h";"40.9645957426237";"29.1031705323659";
"37105.248579";"Altitude (GPS)";"142.614519693464";"m";"40.9645957426237";"29.1031705323659";
"37105.248579";"Average speed (GPS)";"13.3830770138388";"km/h";"40.9645957426237";"29.1031705323659";
"37105.248579";"Speed (GPS)";"19.4936908721924";"km/h";"40.9645957426237";"29.1031705323659";
"37105.262579";"Altitude (GPS)";"87.8000030517578";"m";"40.9645957426237";"29.1031705323659";
"37105.262579";"Average speed (GPS)";"13.4519048178408";"km/h";"40.9645957426237";"29.1031705323659";
"37105.262579";"Speed (GPS)";"23.8201669692993";"km/h";"40.9645957426237";"29.1031705323659";
"37105.285579";"Altitude (GPS)";"87.8000030517578";"m";"40.9645957426237";"29.1031705323659";
"37105.285579";"Average speed (GPS)";"13.3004235428791";"km/h";"40.9645957426237";"29.1031705323659";
"37105.285579";"Speed (GPS)";"0";"km/h";"40.9645957426237";"29.1031705323659";
"37106.216579";"Average speed (GPS)";"15.4528733879363";"km/h";"40.9645957426237";"29.1031705323659";
"37106.216579";"Speed (GPS)";"20.2911695480347";"km/h";"40.9645957426237";"29.1031705323659";
"37106.217579";"Altitude (GPS)";"142.442083797731";"m";"40.9645957426237";"29.1031705323659";
"37106.247579";"Altitude (GPS)";"142.442083797731";"m";"40.96458118058";"29.1032274041518";
"37106.247579";"Average speed (GPS)";"15.50096607334";"km/h";"40.96458118058";"29.1032274041518";
"37106.247579";"Speed (GPS)";"20.2911695480347";"km/h";"40.96458118058";"29.1032274041518";
"37106.255579";"Altitude (GPS)";"142.442083797731";"m";"40.96458118058";"29.1032274041518";
"37106.255579";"Average speed (GPS)";"15.5144063185591";"km/h";"40.96458118058";"29.1032274041518";
"37106.255579";"Speed (GPS)";"20.2911695480347";"km/h";"40.96458118058";"29.1032274041518";
"37106.449579";"Altitude (GPS)";"87.8000030517578";"m";"40.96458118058";"29.1032274041518";
"37106.449579";"Average speed (GPS)";"14.5907691123007";"km/h";"40.96458118058";"29.1032274041518";
"37106.449579";"Speed (GPS)";"0";"km/h";"40.96458118058";"29.1032274041518";
"37107.276579";"Altitude (GPS)";"141.255764210125";"m";"40.96458118058";"29.1032274041518";
"37107.276579";"Average speed (GPS)";"16.4092786987255";"km/h";"40.96458118058";"29.1032274041518";
"37107.276579";"Speed (GPS)";"23.5733694076538";"km/h";"40.96458118058";"29.1032274041518";
"37107.336579";"Altitude (GPS)";"141.255764210125";"m";"40.9646316943188";"29.1033115626308";
"37107.336579";"Average speed (GPS)";"16.5119278033546";"km/h";"40.9646316943188";"29.1033115626308";
"37107.336579";"Speed (GPS)";"23.5733694076538";"km/h";"40.9646316943188";"29.1033115626308";
"37107.352579";"Altitude (GPS)";"141.255764210125";"m";"40.9646316943188";"29.1033115626308";
"37107.352579";"Average speed (GPS)";"16.5396372261636";"km/h";"40.9646316943188";"29.1033115626308";
"37107.352579";"Speed (GPS)";"23.5733694076538";"km/h";"40.9646316943188";"29.1033115626308";
"37107.465579";"Altitude (GPS)";"87.8000030517578";"m";"40.9646316943188";"29.1033115626308";
"37107.465579";"Average speed (GPS)";"16.6800080054406";"km/h";"40.9646316943188";"29.1033115626308";
"37107.465579";"Speed (GPS)";"21.8458963394165";"km/h";"40.9646316943188";"29.1033115626308";
"37107.470579";"Altitude (GPS)";"87.8000030517578";"m";"40.9646316943188";"29.1033115626308";
"37107.470579";"Average speed (GPS)";"16.6593201626224";"km/h";"40.9646316943188";"29.1033115626308";
"37107.470579";"Speed (GPS)";"0";"km/h";"40.9646316943188";"29.1033115626308";
"37112.670579";"Altitude (GPS)";"87.8000030517578";"m";"40.9647272";"29.1029307";
"37112.929579";"Altitude (GPS)";"143.282600210483";"m";"40.9647272";"29.1029307";
"37112.929579";"Average speed (GPS)";"17.4596087064373";"km/h";"40.9647272";"29.1029307";
"37112.929579";"Speed (GPS)";"18.086773109436";"km/h";"40.9647272";"29.1029307";
