"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"40860.886145";"Altitude (GPS)";"189.100006103516";"m";"40.8893861";"29.3813507";
"40861.042145";"Altitude (GPS)";"199.116721265923";"m";"40.8893861";"29.3813507";
"40861.042145";"Average speed (GPS)";"12.4888538882106";"km/h";"40.8893861";"29.3813507";
"40861.042145";"Speed (GPS)";"16.5447681427002";"km/h";"40.8893861";"29.3813507";
"40861.062145";"Average speed (GPS)";"12.5323921233052";"km/h";"40.8891709148453";"29.3808220266381";
"40861.062145";"Speed (GPS)";"16.5447681427002";"km/h";"40.8891709148453";"29.3808220266381";
"40861.063145";"Altitude (GPS)";"199.116721265923";"m";"40.8891709148453";"29.3808220266381";
"40861.065145";"Altitude (GPS)";"199.116721265923";"m";"40.8891709148453";"29.3808220266381";
"40861.065145";"Average speed (GPS)";"12.5376063012292";"km/h";"40.8891709148453";"29.3808220266381";
"40861.065145";"Speed (GPS)";"16.5447681427002";"km/h";"40.8891709148453";"29.3808220266381";
"40861.095145";"Altitude (GPS)";"189.100006103516";"m";"40.8891709148453";"29.3808220266381";
"40861.095145";"Average speed (GPS)";"12.3489748755082";"km/h";"40.8891709148453";"29.3808220266381";
"40861.095145";"Speed (GPS)";"0";"km/h";"40.8891709148453";"29.3808220266381";
"40861.253145";"Altitude (GPS)";"189.100006103516";"m";"40.8893861";"29.3813507";
"40862.065145";"Average speed (GPS)";"13.6479600490579";"km/h";"40.8893861";"29.3813507";
"40862.065145";"Speed (GPS)";"16.2864486694336";"km/h";"40.8893861";"29.3813507";
"40862.066145";"Altitude (GPS)";"199.124593335454";"m";"40.8893861";"29.3813507";
"40862.067145";"Altitude (GPS)";"199.124593335454";"m";"40.8893861";"29.3813507";
"40862.067145";"Average speed (GPS)";"13.6492675558288";"km/h";"40.8893861";"29.3813507";
"40862.067145";"Speed (GPS)";"16.2864486694336";"km/h";"40.8893861";"29.3813507";
"40862.185145";"Altitude (GPS)";"189.100006103516";"m";"40.8893861";"29.3813507";
"40862.185145";"Average speed (GPS)";"13.1251178783564";"km/h";"40.8893861";"29.3813507";
"40862.185145";"Speed (GPS)";"0";"km/h";"40.8893861";"29.3813507";
"40863.045145";"Altitude (GPS)";"199.134414250946";"m";"40.8893861";"29.3813507";
"40863.045145";"Average speed (GPS)";"13.7695671785002";"km/h";"40.8893861";"29.3813507";
"40863.045145";"Speed (GPS)";"16.0616134643555";"km/h";"40.8893861";"29.3813507";
"40863.047145";"Altitude (GPS)";"199.134414250946";"m";"40.8893861";"29.3813507";
"40863.047145";"Average speed (GPS)";"13.7706132034669";"km/h";"40.8893861";"29.3813507";
"40863.047145";"Speed (GPS)";"16.0616134643555";"km/h";"40.8893861";"29.3813507";
"40863.188145";"Altitude (GPS)";"189.100006103516";"m";"40.8893861";"29.3813507";
"40863.188145";"Average speed (GPS)";"13.2922728851389";"km/h";"40.8893861";"29.3813507";
"40863.188145";"Speed (GPS)";"0";"km/h";"40.8893861";"29.3813507";
"40864.086145";"Altitude (GPS)";"199.251556080211";"m";"40.8893861";"29.3813507";
"40864.086145";"Average speed (GPS)";"13.769289690423";"km/h";"40.8893861";"29.3813507";
"40864.086145";"Speed (GPS)";"15.9298976898193";"km/h";"40.8893861";"29.3813507";
"40864.088145";"Altitude (GPS)";"199.251556080211";"m";"40.8893861";"29.3813507";
