SECONDS;PID;VALUE;UNITS;LATITUDE;LONGTITUDE
0.0;Throttle position;15.2941176470588;%;40.9687056;29.0912631
0.09261666666667831;Throttle position;15.6862745098039;%;40.9687056;29.0912631
0.18463333333323437;Throttle position;14.9019607843137;%;40.9687056;29.0912631
0.2759999999999612;Throttle position;15.6862745098039;%;40.9687056;29.0912631
0.37858333333327515;Throttle position;15.2941176470588;%;40.96808626521;29.0904519675062
0.46624999999997574;Throttle position;14.9019607843137;%;40.96808626521;29.0904519675062
0.5493666666666589;Throttle position;13.7254901960784;%;40.9687056;29.0912631
0.6298999999999069;Throttle position;13.7254901960784;%;40.9687056;29.0912631
0.7224333333332955;Throttle position;16.078431372549;%;40.9678131;29.0909771
0.8083833333332829;Throttle position;14.1176470588235;%;40.9678131;29.0909771
0.8994499999999486;Throttle position;14.5098039215686;%;40.9681994035025;29.0914229832626
0.9909999999999854;Throttle position;14.5098039215686;%;40.9682559262748;29.0916304275093
1.086933333333339;Throttle position;13.7254901960784;%;40.9681673;29.0917723
1.1744833333332887;Throttle position;13.3333333333333;%;40.9682616239436;29.0918619224632
1.2676333333332876;Throttle position;13.3333333333333;%;40.9683174722468;29.0919393486262
1.3562666666666094;Throttle position;13.3333333333333;%;40.9684244337367;29.0920740437013
1.4462999999999737;Throttle position;18.0392156862745;%;40.9683058;29.0922463
1.5383166666666512;Throttle position;18.8235294117647;%;40.9686394540737;29.0919888344637
1.6313333333332898;Throttle position;14.1176470588235;%;40.9688451282118;29.0914405069636
1.7156166666666346;Throttle position;18.4313725490196;%;40.9689257;29.0908274
1.8071499999999407;Throttle position;13.3333333333333;%;40.9689257;29.0908274
1.888883333333312;Throttle position;20.3921568627451;%;40.9689257;29.0908274
1.9747833333332285;Throttle position;16.4705882352941;%;40.9689257;29.0908274
2.0601666666666762;Throttle position;13.3333333333333;%;40.9689257;29.0908274
2.1477333333332354;Throttle position;19.2156862745098;%;40.9694812;29.0897367
2.228549999999935;Throttle position;12.9411764705882;%;40.9694812;29.0897367
2.309916666666565;Throttle position;14.1176470588235;%;40.9694812;29.0897367
2.3938833333332394;Throttle position;17.6470588235294;%;40.9702162;29.0900022
2.481266666666609;Throttle position;20.3921568627451;%;40.9702162;29.0900022
2.5644666666665823;Throttle position;19.6078431372549;%;40.9702162;29.0900022
2.6498999999999797;Throttle position;17.2549019607843;%;40.9702162;29.0900022
2.73786666666662;Throttle position;14.1176470588235;%;40.9712179;29.0907348
2.8222833333333255;Throttle position;15.6862745098039;%;40.9712179;29.0907348
2.901299999999901;Throttle position;15.6862745098039;%;40.9712179;29.0907348
2.987033333333238;Throttle position;12.5490196078431;%;40.9712179;29.0907348
3.0763499999999717;Throttle position;12.9411764705882;%;40.9719008;29.091216
3.1591833333333246;Throttle position;20.7843137254902;%;40.9719008;29.091216
3.2437999999999496;Throttle position;14.1176470588235;%;40.9719008;29.091216
3.3315166666666;Throttle position;13.3333333333333;%;40.9719008;29.091216
3.424399999999999;Throttle position;19.2156862745098;%;40.9724891;29.0918533
3.5101166666666055;Throttle position;13.3333333333333;%;40.9724891;29.0918533
3.5930166666666383;Throttle position;13.7254901960784;%;40.9727056;29.0919675
3.677316666666593;Throttle position;14.1176470588235;%;40.9727056;29.0919675
3.760966666666597;Throttle position;21.1764705882353;%;40.9727056;29.0919675
3.844466666666631;Throttle position;21.9607843137255;%;40.9727056;29.0919675
3.9321166666666008;Throttle position;14.1176470588235;%;40.9733581;29.0924514
4.017599999999947;Throttle position;12.9411764705882;%;40.9733581;29.0924514
4.095633333333293;Throttle position;13.3333333333333;%;40.9733581;29.0924514
4.182800000000013;Throttle position;18.0392156862745;%;40.9733581;29.0924514
4.273049999999906;Throttle position;21.1764705882353;%;40.9742202;29.0934277
4.368266666666629;Throttle position;22.7450980392157;%;40.9747152;29.0928981
4.457516666666682;Throttle position;22.3529411764706;%;40.975193985517;29.0919914438168
4.550216666666651;Throttle position;14.1176470588235;%;40.9753474652947;29.0912737549361
4.635716666666607;Throttle position;14.1176470588235;%;40.97544022989;29.0909289045195
4.722849999999986;Throttle position;14.1176470588235;%;40.9756026;29.0907822
4.816266666666585;Throttle position;22.7450980392157;%;40.975895096903;29.0903387810774
4.908766666666634;Throttle position;14.1176470588235;%;40.9763285855989;29.0906229180526
5.001299999999901;Throttle position;14.1176470588235;%;40.9768200613524;29.0909575377017
5.0943999999999505;Throttle position;12.9411764705882;%;40.9771005125437;29.0911907669579
5.183849999999923;Throttle position;16.078431372549;%;40.9772718962189;29.0913737728671
5.276133333333322;Throttle position;14.1176470588235;%;40.9774534;29.0914548
5.35643333333331;Throttle position;12.9411764705882;%;40.9774534;29.0914548
5.443266666666629;Throttle position;19.6078431372549;%;40.9774534;29.0914548
5.534516666666605;Throttle position;17.2549019607843;%;40.9778588;29.0911823
5.6179000000000086;Throttle position;12.5490196078431;%;40.9778588;29.0911823
5.696199999999953;Throttle position;12.9411764705882;%;40.9778588;29.0911823
5.784466666666655;Throttle position;12.5490196078431;%;40.9778588;29.0911823
5.869783333333301;Throttle position;12.5490196078431;%;40.9785378;29.0915927
5.955149999999898;Throttle position;12.9411764705882;%;40.9785378;29.0915927
6.039399999999902;Throttle position;12.5490196078431;%;40.9785378;29.0915927
6.126933333333242;Throttle position;14.9019607843137;%;40.9785378;29.0915927
6.214833333333323;Throttle position;19.2156862745098;%;40.9785548;29.0916911
6.3001166666666295;Throttle position;17.2549019607843;%;40.9785548;29.0916911
6.38198333333324;Throttle position;14.1176470588235;%;40.9785548;29.0916911
