"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"27360.147008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27360.147008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27360.148008";"Altitude (GPS)";"109.199996948242";"m";"40.9782614321592";"29.0915103727977";
"27360.360008";"Altitude (GPS)";"118.051451077345";"m";"40.9782614321592";"29.0915103727977";
"27360.372008";"Altitude (GPS)";"118.051451077345";"m";"40.9782614321592";"29.0915103727977";
"27360.372008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27360.372008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27360.416008";"Altitude (GPS)";"109.199996948242";"m";"40.9782614321592";"29.0915103727977";
"27360.416008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27360.416008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27361.595008";"Altitude (GPS)";"118.096703362779";"m";"40.9782614321592";"29.0915103727977";
"27361.603008";"Altitude (GPS)";"118.096703362779";"m";"40.9782614321592";"29.0915103727977";
"27361.603008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27361.603008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27361.727008";"Altitude (GPS)";"109.199996948242";"m";"40.9782614321592";"29.0915103727977";
"27361.727008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27361.727008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27362.525008";"Altitude (GPS)";"118.142228328036";"m";"40.9782614321592";"29.0915103727977";
"27362.527008";"Altitude (GPS)";"118.142228328036";"m";"40.9782614321592";"29.0915103727977";
"27362.527008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27362.527008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27362.535008";"Altitude (GPS)";"109.199996948242";"m";"40.9782614321592";"29.0915103727977";
"27362.535008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27362.535008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27363.579008";"Altitude (GPS)";"118.187987800728";"m";"40.9782614321592";"29.0915103727977";
"27363.583008";"Altitude (GPS)";"118.187987800728";"m";"40.9782614321592";"29.0915103727977";
"27363.583008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27363.583008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27363.814008";"Altitude (GPS)";"109.199996948242";"m";"40.9782614321592";"29.0915103727977";
"27363.814008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27363.814008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27364.392008";"Altitude (GPS)";"118.23406464323";"m";"40.9782614321592";"29.0915103727977";
"27364.401008";"Altitude (GPS)";"118.23406464323";"m";"40.9782614321592";"29.0915103727977";
"27364.401008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27364.401008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27364.445008";"Altitude (GPS)";"109.199996948242";"m";"40.9782614321592";"29.0915103727977";
"27364.445008";"Average speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27364.445008";"Speed (GPS)";"0";"km/h";"40.9782614321592";"29.0915103727977";
"27370.173008";"Altitude (GPS)";"109.199996948242";"m";"40.9782663";"29.0915327";
"27370.364008";"Altitude (GPS)";"118.280484956416";"m";"40.9782663";"29.0915327";
"27370.364008";"Average speed (GPS)";"0";"km/h";"40.9782663";"29.0915327";
"27370.364008";"Speed (GPS)";"0";"km/h";"40.9782663";"29.0915327";
"27370.540008";"Altitude (GPS)";"118.520201437261";"m";"40.9782614321592";"29.0915103727977";
"27370.728008";"Absolute throttle position B";"16";"%";"40.9782614321592";"29.0915103727977";
"27370.873008";"Absolute pedal position D";"25";"%";"40.9782614321592";"29.0915103727977";
"27370.980008";"OBD Module Voltage";"14.1";"V";"40.9782614321592";"29.0915103727977";
"27371.454008";"Altitude (GPS)";"119.01593706077";"m";"40.9782614321592";"29.0915103727977";
"27371.455008";"Calculated engine load value";"63.921568627451";"%";"40.9782614321592";"29.0915103727977";
"27371.606008";"Engine coolant temperature";"66";"℃";"40.9782614321592";"29.0915103727977";
"27371.763008";"Short term fuel % trim - Bank 1";"0";"%";"40.9782614321592";"29.0915103727977";
"27372.265008";"Long term fuel % trim - Bank 1";"-10.9375";"%";"40.9782614321592";"29.0915103727977";
"27372.401008";"Calculated boost";"-3.38300523901841";"psi";"40.9782614321592";"29.0915103727977";
"27372.401008";"Intake manifold absolute pressure";"11.312943564546";"psi";"40.9782614321592";"29.0915103727977";
"27372.492008";"Average speed (GPS)";"0.57184851335349";"km/h";"40.978263138151";"29.0915139556019";
"27372.492008";"Speed (GPS)";"3.73627982139587";"km/h";"40.978263138151";"29.0915139556019";
"27372.493008";"Altitude (GPS)";"119.50336910018";"m";"40.978263138151";"29.0915139556019";
"27372.581008";"Calculated instant fuel rate";"5.7175025585434";"L/h";"0";"0";
"27372.581008";"Instant engine power (based on fuel consumption)";"22.368001514159";"hp";"0";"0";
"27372.591008";"Calculated instant fuel rate";"5.7175025585434";"L/h";"40.978263138151";"29.0915139556019";
"27372.591008";"Engine RPM";"1882";"rpm";"40.978263138151";"29.0915139556019";
"27372.591008";"Engine RPM x1000";"1.9";"rpm";"40.978263138151";"29.0915139556019";
"27372.591008";"Instant engine power (based on fuel consumption)";"22.368001514159";"hp";"40.978263138151";"29.0915139556019";
"27372.749008";"Calculated instant fuel consumption";"23.8229273272642";"L/100km";"40.978263138151";"29.0915139556019";
"27372.749008";"Vehicle speed";"24";"km/h";"40.978263138151";"29.0915139556019";
