"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"76494.823623";"Speed (GPS)";"0";"km/h";"40.8929476249935";"29.3714327027439";
"76494.840623";"Altitude (GPS)";"0";"m";"40.8929476249935";"29.3714327027439";
"76494.846623";"Average speed (GPS)";"0";"km/h";"40.8929476249935";"29.3714327027439";
"76494.846623";"Speed (GPS)";"0";"km/h";"40.8929476249935";"29.3714327027439";
"76494.847623";"Altitude (GPS)";"0";"m";"40.8929476249935";"29.3714327027439";
"76496.292623";"Altitude (GPS)";"168.254612663522";"m";"40.8929476249935";"29.3714327027439";
"76496.292623";"Average speed (GPS)";"104.095600338322";"km/h";"40.8929476249935";"29.3714327027439";
"76496.292623";"Speed (GPS)";"105.395052337646";"km/h";"40.8929476249935";"29.3714327027439";
"76496.320623";"Altitude (GPS)";"168.254612663522";"m";"40.8929476249935";"29.3714327027439";
"76496.320623";"Average speed (GPS)";"104.120131839156";"km/h";"40.8929476249935";"29.3714327027439";
"76496.320623";"Speed (GPS)";"105.395052337646";"km/h";"40.8929476249935";"29.3714327027439";
"76496.334623";"Altitude (GPS)";"168.254612663522";"m";"40.8929476249935";"29.3714327027439";
"76496.334623";"Average speed (GPS)";"104.13164126235";"km/h";"40.8929476249935";"29.3714327027439";
"76496.334623";"Speed (GPS)";"105.395052337646";"km/h";"40.8929476249935";"29.3714327027439";
"76496.378623";"Altitude (GPS)";"0";"m";"40.8929476249935";"29.3714327027439";
"76496.378623";"Average speed (GPS)";"101.178722514348";"km/h";"40.8929476249935";"29.3714327027439";
"76496.378623";"Speed (GPS)";"0";"km/h";"40.8929476249935";"29.3714327027439";
"76497.333623";"Altitude (GPS)";"173.063857958894";"m";"40.8929476249935";"29.3714327027439";
"76497.333623";"Average speed (GPS)";"103.355602620192";"km/h";"40.8929476249935";"29.3714327027439";
"76497.333623";"Speed (GPS)";"106.885746002197";"km/h";"40.8929476249935";"29.3714327027439";
"76497.356623";"Altitude (GPS)";"173.063857958894";"m";"40.8931850585789";"29.3713065305845";
"76497.356623";"Average speed (GPS)";"103.386946375936";"km/h";"40.8931850585789";"29.3713065305845";
"76497.356623";"Speed (GPS)";"106.885746002197";"km/h";"40.8931850585789";"29.3713065305845";
"76497.358623";"Altitude (GPS)";"173.063857958894";"m";"40.8931850585789";"29.3713065305845";
"76497.358623";"Average speed (GPS)";"103.389907162831";"km/h";"40.8931850585789";"29.3713065305845";
"76497.358623";"Speed (GPS)";"106.885746002197";"km/h";"40.8931850585789";"29.3713065305845";
"76497.411623";"Altitude (GPS)";"0";"m";"40.8931850585789";"29.3713065305845";
"76497.411623";"Average speed (GPS)";"101.265727871355";"km/h";"40.8931850585789";"29.3713065305845";
"76497.411623";"Speed (GPS)";"0";"km/h";"40.8931850585789";"29.3713065305845";
"76498.354623";"Average speed (GPS)";"102.653228680328";"km/h";"40.8931850585789";"29.3713065305845";
"76498.354623";"Speed (GPS)";"106.451676177979";"km/h";"40.8931850585789";"29.3713065305845";
"76498.355623";"Altitude (GPS)";"169.83602498534";"m";"40.8931850585789";"29.3713065305845";
"76498.381623";"Altitude (GPS)";"169.83602498534";"m";"40.8934318252265";"29.3711973011919";
"76498.381623";"Average speed (GPS)";"102.681295797277";"km/h";"40.8934318252265";"29.3711973011919";
"76498.381623";"Speed (GPS)";"106.451676177979";"km/h";"40.8934318252265";"29.3711973011919";
"76498.389623";"Altitude (GPS)";"169.83602498534";"m";"40.8934318252265";"29.3711973011919";
"76498.389623";"Average speed (GPS)";"102.690278640505";"km/h";"40.8934318252265";"29.3711973011919";
"76498.389623";"Speed (GPS)";"106.451676177979";"km/h";"40.8934318252265";"29.3711973011919";
"76498.411623";"Altitude (GPS)";"0";"m";"40.8934318252265";"29.3711973011919";
"76498.411623";"Average speed (GPS)";"102.076487517808";"km/h";"40.8934318252265";"29.3711973011919";
"76498.411623";"Speed (GPS)";"0";"km/h";"40.8934318252265";"29.3711973011919";
"76499.365623";"Altitude (GPS)";"168.65087227122";"m";"40.8934318252265";"29.3711973011919";
"76499.365623";"Average speed (GPS)";"102.56659554172";"km/h";"40.8934318252265";"29.3711973011919";
"76499.365623";"Speed (GPS)";"104.407374572754";"km/h";"40.8934318252265";"29.3711973011919";
"76499.379623";"Altitude (GPS)";"168.65087227122";"m";"40.8936855096199";"29.3710919755975";
"76499.379623";"Average speed (GPS)";"102.572394813666";"km/h";"40.8936855096199";"29.3710919755975";
"76499.379623";"Speed (GPS)";"104.407374572754";"km/h";"40.8936855096199";"29.3710919755975";
"76499.382623";"Altitude (GPS)";"168.65087227122";"m";"40.8936855096199";"29.3710919755975";
"76499.382623";"Average speed (GPS)";"102.573462254386";"km/h";"40.8936855096199";"29.3710919755975";
"76499.382623";"Speed (GPS)";"104.407374572754";"km/h";"40.8936855096199";"29.3710919755975";
"76499.421623";"Altitude (GPS)";"0";"m";"40.8936855096199";"29.3710919755975";
"76499.421623";"Average speed (GPS)";"101.689337827073";"km/h";"40.8936855096199";"29.3710919755975";
"76499.421623";"Speed (GPS)";"0";"km/h";"40.8936855096199";"29.3710919755975";
