"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41164.658813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41164.658813";"Speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
"41164.833813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41164.835813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41164.835813";"Average speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
"41164.835813";"Speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
"41165.840813";"Altitude (GPS)";"221.388104170255";"m";"40.9134508";"29.2910048";
"41165.840813";"Average speed (GPS)";"0.339029267141646";"km/h";"40.9134508";"29.2910048";
"41165.840813";"Speed (GPS)";"0.398858159780502";"km/h";"40.9134508";"29.2910048";
"41165.843813";"Altitude (GPS)";"221.388104170255";"m";"40.9134508";"29.2910048";
"41165.843813";"Average speed (GPS)";"0.339161500026913";"km/h";"40.9134508";"29.2910048";
"41165.843813";"Speed (GPS)";"0.398858159780502";"km/h";"40.9134508";"29.2910048";
"41165.898813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41165.898813";"Average speed (GPS)";"0.35582731603339";"km/h";"40.9134508";"29.2910048";
"41165.898813";"Speed (GPS)";"0.71175189614296";"km/h";"40.9134508";"29.2910048";
"41166.077813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41166.077813";"Average speed (GPS)";"0.310940002143591";"km/h";"40.9134508";"29.2910048";
"41166.077813";"Speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
"41167.176813";"Altitude (GPS)";"224.335596073733";"m";"40.9134508";"29.2910048";
"41167.176813";"Average speed (GPS)";"0.387186580377083";"km/h";"40.9134508";"29.2910048";
"41167.176813";"Speed (GPS)";"0.485728311538696";"km/h";"40.9134508";"29.2910048";
"41167.177813";"Altitude (GPS)";"224.335596073733";"m";"40.9134508";"29.2910048";
"41167.177813";"Average speed (GPS)";"0.387230315832304";"km/h";"40.9134508";"29.2910048";
"41167.177813";"Speed (GPS)";"0.485728311538696";"km/h";"40.9134508";"29.2910048";
"41167.180813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41167.180813";"Average speed (GPS)";"0.386890696385056";"km/h";"40.9134508";"29.2910048";
"41167.180813";"Speed (GPS)";"0.156421481072903";"km/h";"40.9134508";"29.2910048";
"41167.340813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41167.340813";"Average speed (GPS)";"0.363922727706471";"km/h";"40.9134508";"29.2910048";
"41167.340813";"Speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
"41168.063813";"Altitude (GPS)";"225.547375919331";"m";"40.9134508";"29.2910048";
"41168.063813";"Average speed (GPS)";"0.422997264732133";"km/h";"40.9134508";"29.2910048";
"41168.063813";"Speed (GPS)";"0.642142993211746";"km/h";"40.9134508";"29.2910048";
"41168.066813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41168.066813";"Average speed (GPS)";"0.422953929624551";"km/h";"40.9134508";"29.2910048";
"41168.066813";"Speed (GPS)";"0.374449279904366";"km/h";"40.9134508";"29.2910048";
"41168.281813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41168.281813";"Average speed (GPS)";"0.397787728835771";"km/h";"40.9134508";"29.2910048";
"41168.281813";"Speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
"41171.748813";"Altitude (GPS)";"243.675232840734";"m";"40.9134508";"29.2910048";
"41171.748813";"Average speed (GPS)";"0.203287149476516";"km/h";"40.9134508";"29.2910048";
"41171.748813";"Speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
"41171.750813";"Altitude (GPS)";"243.675232840734";"m";"40.9134508";"29.2910048";
"41171.750813";"Average speed (GPS)";"0.20323025433324";"km/h";"40.9134508";"29.2910048";
"41171.750813";"Speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
"41171.752813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41171.752813";"Average speed (GPS)";"0.203463671064676";"km/h";"40.9134508";"29.2910048";
"41171.752813";"Speed (GPS)";"0.928602755069733";"km/h";"40.9134508";"29.2910048";
"41171.755813";"Altitude (GPS)";"185.200012207031";"m";"40.9134508";"29.2910048";
"41171.755813";"Average speed (GPS)";"0.203376755912057";"km/h";"40.9134508";"29.2910048";
"41171.755813";"Speed (GPS)";"0";"km/h";"40.9134508";"29.2910048";
