Time (minutes);Father's Engine RPM
0.0;1099.0
0.09143333333340706;900.0
0.19025000000001455;887.0
0.28258333333336244;567.0
0.38455000000006595;1059.0
0.47313333333331686;885.0
0.5561499999999796;877.0
0.6354333333333974;870.0
0.7286500000000766;1078.0
0.8143166666667336;1933.0
0.9060500000000805;1678.0
0.9959666666666939;914.0
1.0928833333333994;833.0
1.180833333333309;831.0
1.2749333333333197;826.0
1.3611333333334188;832.0
1.4514833333333323;954.0
1.5437000000000505;1779.0
1.6377333333333808;1462.0
1.720550000000003;1390.0
1.812800000000061;1143.0
1.8951166666667025;1237.0
1.9789333333334072;1328.0
2.0655500000000755;773.0
2.1528000000000853;1218.0
2.2344166666667054;1334.0
2.3150333333333646;769.0
2.39985000000003;1940.0
2.4882333333333615;1294.0
2.5706666666666327;1279.0
2.6555666666667093;1040.0
2.744050000000061;1001.0
2.8281666666667054;889.0
2.9084666666666936;1349.0
2.99353333333335;1278.0
3.083750000000024;1098.0
3.1657000000000455;1349.0
3.250116666666751;1796.0
3.3373000000000803;812.0
3.430566666666709;1268.0
3.5150333333333643;1452.0
3.599250000000029;686.0
3.6828666666666927;747.0
3.765950000000036;1549.0
3.8507000000000216;1783.0
3.936716666666689;2075.0
4.023400000000038;1324.0
4.102049999999993;970.0
4.18746666666666;983.0
4.279383333333317;2397.0
4.373716666666708;1875.0
4.461183333333368;1826.0
4.5558500000000395;1919.0
4.641966666666728;1739.0
4.727200000000084;933.0
4.822066666666675;1458.0
4.914316666666734;1910.0
5.0070166666667015;1740.0
5.099433333333339;934.0
5.188249999999971;1063.0
5.282099999999991;1418.0
5.362983333333371;830.0
5.4498833333333705;922.0
5.540316666666695;1246.0
5.623783333333389;725.0
5.7026333333333845;679.0
5.78768333333331;681.0
5.877450000000075;687.0
5.960866666666698;679.0
6.046666666666715;679.0
6.133866666666654;681.0
6.219750000000082;1600.0
6.30631666666668;1585.0
6.387266666666741;1870.0
6.479383333333317;1478.0
6.561150000000028;2026.0
6.648483333333328;1985.0
6.733366666666673;1588.0
6.818299999999969;1445.0
6.904766666666668;2167.0
6.995383333333303;1766.0
7.083166666666632;2070.0
7.166016666666716;2426.0
7.2497500000000095;2104.0
7.334149999999984;2157.0
7.4193500000000006;2255.0
7.503116666666634;2280.0
7.584100000000035;2232.0
7.673016666666687;2344.0
7.755133333333409;2390.0
7.84371666666666;2477.0
7.92420000000008;2507.0
8.01256666666668;2415.0
8.095383333333302;2539.0
8.184933333333417;2572.0
8.284450000000046;2499.0
8.365933333333306;2443.0
8.44985000000003;2422.0
8.529516666666677;2356.0
8.614416666666633;2388.0
8.700916666666672;2381.0
8.78116666666671;2327.0
8.866833333333368;2415.0
8.94928333333337;2222.0
9.03731666666669;2176.0
9.119316666666661;2306.0
9.203483333333375;2517.0
9.287766666666721;2639.0
9.372916666666667;2728.0
9.456366666666751;2782.0
9.540300000000085;2780.0
9.622249999999985;2705.0
9.712116666666649;2618.0
9.792866666666669;2559.0
9.891616666666717;2573.0
9.988033333333322;2547.0
10.072849999999987;2552.0
10.151050000000032;2524.0
10.234833333333397;2490.0
10.321333333333314;2610.0
10.40556666666671;2712.0
10.488783333333412;2813.0
10.573000000000077;2828.0
10.658050000000003;2796.0
10.74385000000002;2827.0
10.826900000000023;2797.0
10.912333333333299;2905.0
10.995683333333364;2941.0
11.082616666666702;2846.0
11.166683333333397;2791.0
11.253583333333397;2735.0
11.332083333333381;2759.0
11.417283333333398;2863.0
11.50023333333338;2862.0
11.589633333333405;2579.0
11.673449999999987;2463.0
11.757633333333311;2395.0
11.849983333333391;2488.0
11.930500000000029;2427.0
12.011850000000049;2572.0
12.096383333333385;2587.0
12.182333333333371;2824.0
12.264783333333375;2952.0
12.349016666666648;2974.0
12.434066666666695;3017.0
12.523099999999976;3040.0
12.609233333333396;3019.0
12.693733333333391;3000.0
12.779416666666657;2949.0
12.864733333333303;2955.0
12.950366666666742;2960.0
13.032733333333333;2997.0
13.115316666666695;2962.0
13.201383333333313;2978.0
13.289650000000014;2995.0
13.370516666666663;3061.0
13.459100000000035;3012.0
13.547800000000036;3106.0
13.635266666666697;3071.0
13.720300000000012;3019.0
13.80635000000002;2976.0
13.891883333333316;2957.0
13.977216666666694;2852.0
14.06931666666666;2980.0
14.159399999999975;3009.0
14.239750000000035;3113.0
14.322416666666687;3189.0
14.404699999999988;3221.0
14.490083333333313;3164.0
14.571049999999984;3243.0
14.653999999999966;3293.0
14.739383333333414;3331.0
14.824350000000049;3319.0
14.90618333333332;3345.0
14.989700000000084;3241.0
15.08086666666665;3214.0
15.166849999999977;3290.0
15.248516666666667;3171.0
15.333066666666733;3248.0
15.41860000000003;3200.0
15.507400000000052;3203.0
15.58736666666664;3167.0
15.677049999999992;2997.0
15.759450000000045;3032.0
15.845216666666722;2972.0
15.93063333333339;2973.0
16.016683333333397;2823.0
16.098066666666636;2681.0
16.183150000000023;2714.0
16.26436666666668;2578.0
16.346916666666704;2825.0
16.42998333333332;2929.0
16.51744999999998;2909.0
16.598416666666648;2926.0
16.685933333333377;2837.0
16.766949999999998;2739.0
16.854550000000017;2813.0
16.941066666666664;2706.0
17.0242333333333;2761.0
17.10819999999997;2787.0
17.191133333333347;2736.0
17.277800000000084;2691.0
17.3620666666667;2858.0
17.444800000000033;2754.0
17.533799999999975;2835.0
17.619450000000022;2884.0
17.710349999999988;2871.0
17.797849999999986;2957.0
17.885766666666676;2804.0
17.973083333333367;2727.0
18.058483333333303;2762.0
18.14230000000001;2764.0
18.226216666666733;2819.0
18.310200000000016;2789.0
18.397200000000037;2751.0
18.478116666666633;2599.0
18.564500000000045;2594.0
18.646066666666716;2584.0
18.733716666666684;2512.0
18.813816666666632;2489.0
18.903933333333406;2599.0
18.985500000000076;2697.0
19.070766666666653;2729.0
19.160133333333338;2804.0
19.2488;2688.0
19.33601666666667;2653.0
19.418250000000018;2668.0
19.502200000000084;2764.0
19.58768333333331;2760.0
19.671916666666707;2862.0
19.75703333333331;2946.0
19.838150000000073;2863.0
19.92321666666673;2759.0
20.008683333333344;2799.0
20.097016666666725;2852.0
20.184350000000027;3019.0
20.26808333333332;2930.0
20.35490000000003;2956.0
20.436166666666637;2879.0
20.52058333333334;2879.0
20.601300000000023;2804.0
20.68711666666665;2365.0
20.776433333333383;2142.0
20.85819999999997;2073.0
20.95;1877.0
21.032266666666693;1921.0
21.11781666666672;1983.0
21.196666666666715;2057.0
21.28213333333333;2182.0
21.36401666666667;2360.0
21.451200000000004;2207.0
21.536066666666738;1778.0
21.61931666666666;1351.0
21.697249999999986;1821.0
21.7870666666667;2072.0
21.866200000000028;2593.0
21.95485000000008;2026.0
22.035050000000048;1902.0
22.123366666666698;2561.0
22.20226666666664;2430.0
22.289883333333396;2434.0
22.377000000000045;1814.0
22.472033333333336;863.0
22.557616666666704;2296.0
22.640166666666726;2150.0
22.72526666666672;2381.0
22.808716666666683;2246.0
22.891166666666685;1984.0
22.972900000000056;2597.0
23.05733333333337;2413.0
23.141016666666715;2445.0
23.221616666666645;1861.0
23.304483333333337;1922.0
23.389033333333405;2124.0
23.472116666666746;2145.0
23.557866666666694;2178.0
23.64355000000008;2311.0
23.728849999999998;1914.0
23.81098333333333;1755.0
23.898716666666708;2067.0
23.986483333333307;2528.0
24.067150000000037;2352.0
24.152433333333345;1913.0
24.236000000000057;2037.0
24.326783333333392;1779.0
24.40618333333332;1781.0
24.491766666666688;2040.0
24.579099999999986;1941.0
24.667183333333377;2146.0
24.74988333333337;2043.0
24.833199999999973;2118.0
24.91841666666672;2162.0
25.00596666666667;1985.0
25.088633333333323;1932.0
25.173833333333338;1757.0
25.257316666666643;1743.0
25.347450000000027;2297.0
25.42553333333332;2931.0
25.509550000000065;2753.0
25.59861666666669;2607.0
25.68114999999998;2289.0
25.76285000000001;2626.0
25.846783333333345;2804.0
25.936500000000038;2267.0
26.02026666666667;2135.0
26.101366666666703;2293.0
26.189766666666642;2498.0
26.275550000000052;2605.0
26.363716666666733;2574.0
26.44508333333336;2602.0
26.529099999999985;2587.0
26.615116666666655;2646.0
26.699183333333348;2625.0
26.786083333333348;2453.0
26.87595000000001;2444.0
26.960283333333305;2349.0
27.0440833333334;1853.0
27.12464999999999;1896.0
27.213116666666732;2229.0
27.29361666666664;2446.0
27.38203333333331;2480.0
27.464183333333374;2270.0
27.55529999999999;2404.0
27.636683333333348;2632.0
27.722166666666695;2668.0
27.80523333333331;2438.0
27.89860000000008;2472.0
27.982816666666743;2309.0
28.063116666666733;2268.0
28.1439166666667;2554.0
28.23653333333338;2664.0
28.319400000000073;2695.0
28.406866666666733;2553.0
28.488949999999992;2397.0
28.576200000000004;2284.0
28.656533333333332;1940.0
28.744066666666672;1778.0
28.83133333333341;1323.0
28.914650000000012;1737.0
28.996750000000006;677.0
29.080316666666718;1627.0
29.166183333333418;1832.0
29.24886666666668;1524.0
29.330066666666728;1676.0
29.41916666666669;1780.0
29.50503333333339;1915.0
29.58683333333332;1866.0
29.66871666666666;1603.0
29.757533333333413;1420.0
29.839616666666675;1120.0
29.92005000000002;1100.0
30.00485000000008;688.0
30.08796666666664;721.0
30.171000000000035;677.0
30.254349999999977;1153.0
30.336533333333378;3048.0
30.42958333333336;1358.0
30.5126666666667;1650.0
30.600800000000042;803.0
30.679666666666648;1606.0
30.770199999999992;2292.0
30.852649999999993;1286.0
30.93728333333335;1339.0
31.023466666666717;1215.0
31.11368333333339;1133.0
31.20056666666666;684.0
31.284816666666664;1356.0
31.36853333333335;1590.0
31.458733333333416;1277.0
31.540966666666645;1836.0
31.6239666666667;1139.0
31.702133333333403;1530.0
31.7939166666667;1381.0
31.872749999999964;2219.0
31.95510000000007;2138.0
32.03846666666674;1811.0
32.12898333333336;1280.0
32.21106666666674;683.0
32.29413333333335;609.0
32.38523333333335;1660.0
32.46791666666674;763.0
32.54936666666666;1937.0
32.63375000000003;679.0
32.716266666666705;675.0
32.80293333333332;720.0
32.883216666666705;824.0
33.05321666666666;0.0
